cf_id,company_name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,category,subcategory,category_id,subcategory_id
91,Reid-Mccullough,Visionary real-time groupware,1600,10541,successful,98,DK,DKK,11/25/2020,3/1/2021,FALSE,FALSE,publishing/fiction,publishing,fiction,cat06,scat014
87,Woods-Clark,Networked tertiary Graphical User Interface,9500,4530,failed,48,US,USD,1/18/2021,3/20/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1482,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,5/23/2021,9/23/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
1711,Bennett and Sons,Function-based multi-state software,1500,7129,successful,149,US,USD,12/18/2020,6/27/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2294,Lamb Inc,Optimized leadingedge concept,33300,128862,successful,2431,US,USD,2/22/2021,11/10/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2389,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,1/25/2021,1/30/2022,FALSE,FALSE,music/rock,music,rock,cat02,scat02
378,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,10/8/2021,11/3/2021,FALSE,FALSE,music/metal,music,metal,cat02,scat017
1213,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100,145243,failed,1467,GB,GBP,9/7/2020,7/29/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
29,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200,2459,failed,75,US,USD,3/12/2021,1/5/2022,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2309,Smith-Jones,Reverse-engineered static concept,8800,12356,successful,209,US,USD,10/14/2021,12/24/2021,FALSE,FALSE,film & video/drama,film & video,drama,cat05,scat07
2101,Roy PLC,Multi-channeled neutral customer loyalty,6000,5392,failed,120,US,USD,3/30/2021,5/24/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
1057,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600,11746,successful,131,US,USD,9/29/2021,11/29/2021,FALSE,FALSE,music/jazz,music,jazz,cat02,scat018
2655,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000,11493,successful,164,US,USD,3/3/2021,5/22/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
202,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900,6243,successful,201,US,USD,7/23/2021,12/4/2021,FALSE,FALSE,games/video games,games,video games,cat07,scat012
2025,Anderson-Perez,Expanded 3rdgeneration strategy,2700,6132,successful,211,US,USD,2/9/2021,6/11/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2395,"Wright, Fox and Marks",Assimilated real-time support,1400,3851,successful,128,US,USD,12/10/2020,3/7/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1418,Crawford-Peters,User-centric regional database,94200,135997,successful,1600,CA,CAD,10/20/2020,8/24/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1905,Romero-Hoffman,Open-source zero administration complexity,199200,184750,failed,2253,CA,CAD,6/15/2021,10/26/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1969,Sparks-West,Organized incremental standardization,2000,14452,successful,249,US,USD,8/19/2021,11/21/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
2430,"Baker, Morgan and Brown",Assimilated didactic open system,4700,557,failed,5,US,USD,6/25/2021,7/16/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1291,Mosley-Gilbert,Vision-oriented logistical intranet,2800,2734,failed,38,US,USD,5/21/2021,9/23/2021,FALSE,TRUE,technology/web,technology,web,cat03,scat03
1934,Berry-Boyer,Mandatory incremental projection,6100,14405,successful,236,US,USD,2/23/2021,11/20/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1225,Sanders-Allen,Grass-roots needs-based encryption,2900,1307,failed,12,US,USD,10/5/2021,11/6/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1363,Lopez Inc,Team-oriented 6thgeneration middleware,72600,117892,successful,4065,GB,GBP,11/3/2020,9/24/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
963,Moreno-Turner,Inverse multi-tasking installation,5700,14508,successful,246,IT,EUR,8/10/2020,2/7/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1486,Jones-Watson,Switchable disintermediate moderator,7900,1901,canceled,17,US,USD,6/27/2021,1/17/2022,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
676,Barker Inc,Re-engineered 24/7 task-force,128000,158389,successful,2475,IT,EUR,8/8/2021,1/30/2022,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
2137,"Tate, Bass and House",Organic object-oriented budgetary management,6000,6484,successful,76,US,USD,3/19/2021,6/5/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2656,"Hampton, Lewis and Ray",Seamless coherent parallelism,600,4022,successful,54,US,USD,7/27/2021,11/30/2021,FALSE,FALSE,film & video/animation,film & video,animation,cat05,scat011
1556,Collins-Goodman,Cross-platform even-keeled initiative,1400,9253,successful,88,US,USD,5/11/2020,3/9/2021,FALSE,FALSE,music/jazz,music,jazz,cat02,scat018
747,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,6/29/2021,8/27/2021,FALSE,FALSE,music/metal,music,metal,cat02,scat017
60,"White, Torres and Bishop",Multi-layered dynamic protocol,9700,14606,successful,170,US,USD,2/25/2021,3/31/2021,FALSE,FALSE,photography/photography books,photography,photography books,cat08,scat015
2459,"Martin, Conway and Larsen",Horizontal next generation function,122900,95993,failed,1684,US,USD,12/13/2020,12/26/2021,TRUE,TRUE,theater/plays,theater,plays,cat04,scat04
1903,Acevedo-Huffman,Pre-emptive impactful model,9500,4460,failed,56,US,USD,6/17/2021,8/27/2021,FALSE,TRUE,film & video/animation,film & video,animation,cat05,scat011
2003,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500,13536,successful,330,US,USD,12/24/2020,4/16/2021,FALSE,FALSE,publishing/translations,publishing,translations,cat06,scat019
2885,Soto LLC,Triple-buffered reciprocal project,57800,40228,failed,838,US,USD,6/13/2021,11/18/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2067,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100,7012,successful,127,US,USD,6/26/2021,10/21/2021,FALSE,FALSE,games/video games,games,video games,cat07,scat012
1610,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,11/1/2020,3/4/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
2909,Porter-George,Reactive content-based framework,1000,14973,successful,180,GB,GBP,10/9/2020,11/11/2021,FALSE,TRUE,games/video games,games,video games,cat07,scat012
1239,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,6/25/2021,8/8/2021,FALSE,FALSE,music/electric music,music,electric music,cat02,scat06
2480,Cisneros-Burton,Public-key zero tolerance orchestration,31400,41564,successful,374,US,USD,7/3/2021,10/5/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
2181,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,5/29/2021,8/20/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
2030,Davis-Smith,Organic motivating firmware,7400,12405,successful,203,US,USD,5/16/2021,9/12/2021,TRUE,FALSE,theater/plays,theater,plays,cat04,scat04
2311,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,8/23/2020,3/24/2021,FALSE,TRUE,music/rock,music,rock,cat02,scat02
2821,Clark Group,Grass-roots fault-tolerant policy,4800,12516,successful,113,US,USD,7/21/2020,2/22/2021,FALSE,FALSE,publishing/translations,publishing,translations,cat06,scat019
2468,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400,8588,successful,96,US,USD,7/23/2020,1/18/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
656,Kramer Group,Synergistic explicit parallelism,7800,6132,failed,106,US,USD,10/9/2021,11/15/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
2791,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300,74688,failed,679,IT,EUR,7/3/2020,6/17/2021,FALSE,FALSE,publishing/translations,publishing,translations,cat06,scat019
1527,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000,51775,successful,498,CH,CHF,8/5/2020,5/15/2021,FALSE,TRUE,games/video games,games,video games,cat07,scat012
1891,Hall and Sons,Pre-emptive radical architecture,108800,65877,canceled,610,US,USD,11/22/2020,12/5/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
580,Hanson Inc,Grass-roots web-enabled contingency,2900,8807,successful,180,GB,GBP,3/14/2021,8/29/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
682,Sanchez LLC,Stand-alone system-worthy standardization,900,1017,successful,27,US,USD,8/6/2021,9/5/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
3097,Howard Ltd,Down-sized systematic policy,69700,151513,successful,2331,US,USD,10/18/2021,12/26/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
873,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,11/29/2020,6/11/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
1668,"Arias, Allen and Miller",Seamless transitional portal,97800,32951,failed,1220,AU,AUD,2/14/2021,11/3/2021,FALSE,FALSE,games/video games,games,video games,cat07,scat012
3076,Baker-Morris,Fully-configurable motivating approach,7600,14951,successful,164,US,USD,8/23/2020,2/6/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
3146,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100,1,failed,1,US,USD,6/22/2021,10/23/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
253,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,10/6/2021,1/27/2022,FALSE,TRUE,music/electric music,music,electric music,cat02,scat06
3088,Garcia Inc,Front-line web-enabled model,3700,10422,successful,336,US,USD,9/18/2020,8/18/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
393,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,5/10/2021,8/3/2021,FALSE,FALSE,music/electric music,music,electric music,cat02,scat06
2912,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,7/9/2021,10/15/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
478,Charles-Johnson,Total fresh-thinking system engine,6800,9829,successful,95,US,USD,10/8/2020,7/23/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
1061,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900,14006,successful,147,US,USD,3/5/2021,5/19/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2957,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500,6527,successful,86,US,USD,5/7/2021,12/28/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
2015,Decker Inc,Universal encompassing implementation,1500,8929,successful,83,US,USD,10/14/2020,7/23/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
1179,Romero and Sons,Object-based client-server application,5200,3079,failed,60,US,USD,10/1/2020,6/12/2021,FALSE,FALSE,film & video/television,film & video,television,cat05,scat020
2568,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,5/5/2020,5/30/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
2869,Hart-Briggs,Re-engineered user-facing approach,61400,73653,successful,676,US,USD,3/17/2021,10/27/2021,FALSE,FALSE,publishing/radio & podcasts,publishing,radio & podcasts,cat06,scat016
718,Jones-Meyer,Re-engineered client-driven hub,4700,12635,successful,361,AU,AUD,10/24/2020,4/12/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
1211,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,1/29/2021,2/13/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
2431,Harper-Davis,Robust heuristic encoding,1900,13816,successful,126,US,USD,7/2/2021,12/31/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
468,Barrett PLC,Team-oriented clear-thinking capacity,166700,145382,failed,3304,IT,EUR,3/20/2021,4/16/2021,FALSE,FALSE,publishing/fiction,publishing,fiction,cat06,scat014
1862,David-Clark,De-engineered motivating standardization,7200,6336,failed,73,US,USD,9/2/2021,12/31/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2300,Chaney-Dennis,Business-focused 24hour groupware,4900,8523,successful,275,US,USD,6/18/2021,12/31/2021,FALSE,FALSE,film & video/television,film & video,television,cat05,scat020
449,"Robinson, Lopez and Christensen",Organic next generation protocol,5400,6351,successful,67,US,USD,10/7/2020,10/17/2021,FALSE,FALSE,photography/photography books,photography,photography books,cat08,scat015
283,Clark and Sons,Reverse-engineered full-range Internet solution,5000,10748,successful,154,US,USD,7/27/2021,11/1/2021,FALSE,TRUE,film & video/documentary,film & video,documentary,cat05,scat05
2484,Vega Group,Synchronized regional synergy,75100,112272,successful,1782,US,USD,4/15/2021,10/8/2021,FALSE,TRUE,games/mobile games,games,mobile games,cat07,scat021
1490,Brown-Brown,Multi-lateral homogeneous success,45300,99361,successful,903,US,USD,6/21/2020,4/14/2021,FALSE,FALSE,games/video games,games,video games,cat07,scat012
186,Taylor PLC,Seamless zero-defect solution,136800,88055,failed,3387,US,USD,5/21/2020,1/28/2021,FALSE,FALSE,publishing/fiction,publishing,fiction,cat06,scat014
2999,Edwards-Lewis,Enhanced scalable concept,177700,33092,failed,662,CA,CAD,1/15/2022,2/3/2022,TRUE,FALSE,theater/plays,theater,plays,cat04,scat04
2819,"Stanton, Neal and Rodriguez",Polarized uniform software,2600,9562,successful,94,IT,EUR,7/19/2020,2/28/2021,FALSE,FALSE,photography/photography books,photography,photography books,cat08,scat015
2105,Pratt LLC,Stand-alone web-enabled moderator,5300,8475,successful,180,US,USD,5/10/2020,5/2/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1324,Gross PLC,Proactive methodical benchmark,180200,69617,failed,774,US,USD,3/24/2020,3/11/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
1952,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200,53067,failed,672,CA,CAD,3/3/2021,6/16/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2404,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,9/13/2020,9/17/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
990,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,3/23/2021,12/6/2021,FALSE,FALSE,food/food trucks,food,food trucks,cat01,scat01
1459,"Luna, Anderson and Fox",Secured directional encryption,9600,14925,successful,533,DK,DKK,10/10/2020,7/13/2021,FALSE,FALSE,film & video/drama,film & video,drama,cat05,scat07
1106,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700,166116,successful,2443,GB,GBP,7/17/2021,1/18/2022,FALSE,FALSE,technology/web,technology,web,cat03,scat03
1488,Flowers and Sons,Virtual static core,3300,3834,successful,89,US,USD,10/20/2020,11/2/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
2107,Gates PLC,Secured content-based product,4500,13985,successful,159,US,USD,7/9/2020,5/18/2021,FALSE,FALSE,music/world music,music,world music,cat02,scat022
2660,Caldwell LLC,Secured executive concept,99500,89288,failed,940,CH,CHF,7/23/2021,7/28/2021,FALSE,TRUE,film & video/documentary,film & video,documentary,cat05,scat05
2647,"Le, Burton and Evans",Balanced zero-defect software,7700,5488,failed,117,US,USD,12/25/2020,12/2/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
565,Briggs PLC,Distributed context-sensitive flexibility,82800,2721,canceled,58,US,USD,3/23/2021,4/14/2021,FALSE,TRUE,film & video/drama,film & video,drama,cat05,scat07
2713,Hudson-Nguyen,Down-sized disintermediate support,1800,4712,successful,50,US,USD,4/7/2020,2/14/2021,FALSE,FALSE,publishing/nonfiction,publishing,nonfiction,cat06,scat010
558,Hogan Ltd,Stand-alone mission-critical moratorium,9600,9216,failed,115,US,USD,5/10/2021,12/17/2021,FALSE,FALSE,games/mobile games,games,mobile games,cat07,scat021
698,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100,19246,failed,326,US,USD,1/14/2021,7/7/2021,FALSE,TRUE,technology/wearables,technology,wearables,cat03,scat09
321,Bautista-Cross,Fully-configurable coherent Internet solution,5500,12274,successful,186,US,USD,10/18/2020,5/5/2021,FALSE,FALSE,film & video/documentary,film & video,documentary,cat05,scat05
1302,Jackson LLC,Distributed motivating algorithm,64300,65323,successful,1071,US,USD,5/7/2020,3/21/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
1410,Figueroa Ltd,Expanded solution-oriented benchmark,5000,11502,successful,117,US,USD,5/26/2021,11/24/2021,FALSE,FALSE,technology/web,technology,web,cat03,scat03
2465,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,12/3/2020,11/25/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
377,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000,11619,successful,135,US,USD,2/7/2021,4/20/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
1882,Fields-Moore,Secured reciprocal array,25000,59128,successful,768,CH,CHF,1/28/2021,11/21/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
822,Harris-Golden,Optional bandwidth-monitored middleware,8800,1518,canceled,51,US,USD,9/15/2020,2/1/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
2730,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300,9337,successful,199,US,USD,8/21/2021,11/15/2021,FALSE,TRUE,theater/plays,theater,plays,cat04,scat04
2198,"White, Larson and Wright",Upgradable hybrid capability,9300,11255,successful,107,US,USD,4/19/2020,2/15/2021,FALSE,FALSE,technology/wearables,technology,wearables,cat03,scat09
2757,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,9/8/2020,4/16/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
2588,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,1/21/2021,7/11/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
1090,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,12/2/2021,1/12/2022,FALSE,FALSE,music/electric music,music,electric music,cat02,scat06
64,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,11/13/2020,7/23/2021,FALSE,FALSE,music/indie rock,music,indie rock,cat02,scat08
2171,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400,176112,failed,5681,US,USD,7/17/2021,11/12/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
625,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,1/29/2021,6/20/2021,FALSE,TRUE,music/indie rock,music,indie rock,cat02,scat08
1065,Hall-Schaefer,Distributed eco-centric methodology,139500,90706,failed,1194,US,USD,5/23/2021,7/29/2021,FALSE,FALSE,theater/plays,theater,plays,cat04,scat04
174,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,11/24/2020,12/26/2021,FALSE,FALSE,music/rock,music,rock,cat02,scat02
